id_proveedor,razon_social,rfc,email,created_at,updated_at
1f09e1ea-4a44-4e96-9ce0-41e1219a7ef4,GASODUCTO DE AGUAPRIETA,,,2026-01-21 19:38:04.639372+00,2026-01-21 19:38:04.639372+00
2ef25494-b1e5-410b-8f6f-fcd12d5733b2,WINDWARD ENERGY MARKETING,,ops@windward.com,2026-01-21 17:27:53.774545+00,2026-01-21 17:27:53.774545+00
4b1e9c5d-ed6a-4c66-8f8c-31401c04cf23,CENTRO NACIONAL DE CONTROL DEL GAS NATURAL,CNC140828A11,contacto@cenagas.gob.mx,2026-01-21 17:27:53.774545+00,2026-01-21 17:27:53.774545+00
6bc2fbe4-3a34-4837-a3d8-8162e642ba3a,CFE ENERGÍA S.A. DE C.V.,CFE150212ABC,ventas@cfeenergia.mx,2026-01-21 17:27:53.774545+00,2026-01-21 17:27:53.774545+00
9cac275b-76fa-424a-b3e1-643e63fa7f3c,"TARAHUMARA PIPELINE, S. DE R.L. DE C.V.",,,2026-01-21 19:38:04.639372+00,2026-01-21 19:38:04.639372+00
a165049b-58eb-45fc-a4c5-af7a1d96a7d1,FERMACA ENCINO-LA LAGUNA,,,2026-01-21 19:38:04.639372+00,2026-01-21 19:38:04.639372+00
bf3200ca-d766-49f5-916a-ea2deaf5824e,"IENOVA PIPELINES, S. DE R.L. DE C.V.",IPI060912ABC,facturacion@ienova.com.mx,2026-01-21 17:27:53.774545+00,2026-01-21 17:27:53.774545+00
cf7fc112-40bd-4359-a25c-91d3ae7e9607,ENGIE MEXICO (GASODUCTOS DE TAMAULIPAS),GDT980512123,atencion@engie.com,2026-01-21 17:27:53.774545+00,2026-01-21 17:27:53.774545+00
ea84d96f-5361-462f-b758-0d56c5ca3642,TC ENERGIA (TRANSPORTADORA DE GAS NATURAL DEL NOROESTE),TGN120315XYZ,soporte@tcenergy.com,2026-01-21 17:27:53.774545+00,2026-01-21 17:27:53.774545+00
ef697310-4857-4b7b-a59c-2dc694b54a89,"NET MEXICO PIPELINE PARTNERS, LLC",,billing@netmexico.com,2026-01-21 17:27:53.774545+00,2026-01-21 17:27:53.774545+00
