id_punto,nombre_punto,codigo,sistema_transporte,capacidad_tecnica_mmscfd,activo,created_at,updated_at
004bd6ca-7047-42d5-889b-804bab9d0a97,Ramones,RAM-01,Sistrangas,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
1900b9b9-daab-4862-84ad-4f0f0c61ef03,Venta de Carpio,VDC-01,Sistrangas,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
1e293730-9dcc-49bd-ba54-46eee897b9e1,Topolobampo,TOP-01,Topolobampo,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
40e3589a-8324-4607-bbbd-37ed8af61288,Cactus,CACT-01,Sistrangas,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
422d653d-d775-4aab-a0ed-8c33a7fd09a4,Waha,WAH-01,Waha-Presidio,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
6014b45e-b516-4cb0-aba5-b44089a6c6a1,El Encino,ENC-01,Tarahumara Pipelines,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
62dddfaf-1419-43ea-975e-7cf972ac29ee,Monclova,MON-05,Sistrangas,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
7cd0ac8f-dba3-4313-8e04-3e34ea58f631,Reynosa,REY-01,Sistrangas,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
b41abd1b-b14b-476e-b85b-dcc253942f2b,Zempoala,ZEMP-02,Sistrangas,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
e8379856-8f5f-4e55-b5c5-0cc8ed0650b2,Nuevo Laredo,NLA-01,Sistrangas,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
ee9cbbb2-8e23-4a04-bf84-e891a8b54cf1,Aguascalientes,AGU-01,Sistrangas,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
fab0dba2-f4f1-48bc-8dd5-8ec12abb54b9,Altamira,ALT-01,Sistrangas,,true,2026-01-21 23:08:25.683592+00,2026-01-21 23:08:25.683592+00
